0,4,5,0.01745
0,5,5,0.04315
0,6,5,0.1327
0,7,5,0.88865
0,4,10,0.0185
0,5,10,0.03975
0,6,10,0.1394
0,7,10,0.7946
0,4,15,0.01975
0,5,15,0.0464
0,6,15,0.11845
0,7,15,0.729
0,4,20,0.02315
0,5,20,0.0611
0,6,20,0.4937
0,7,20,1.00205
0,4,25,0.02485
0,5,25,0.06705
0,6,25,0.2344
0,7,25,9.36135
0,4,50,0.0299
0,5,50,0.0899
0,6,50,0.45315
0,7,50,1.94305
0,4,100,0.02975
0,5,100,0.14285
0,6,100,0.52855
0,7,100,4.0745
0,4,10000,0.0306
0,5,10000,0.15395
0,6,10000,1.9998
0,7,10000,6.81265
1,4,5,0.009
1,5,5,0.0211
1,6,5,0.0286
1,7,5,0.06205
1,4,10,0.01315
1,5,10,0.03145
1,6,10,0.05155
1,7,10,0.1341
1,4,15,0.0157
1,5,15,0.04015
1,6,15,0.0699
1,7,15,0.11495
1,4,20,0.01825
1,5,20,0.0555
1,6,20,0.08585
1,7,20,0.14045
1,4,25,0.019
1,5,25,0.0659
1,6,25,0.12795
1,7,25,0.18185
1,4,50,0.0247
1,5,50,0.101
1,6,50,0.21955
1,7,50,0.32885
1,4,100,0.0257
1,5,100,0.13465
1,6,100,0.3538
1,7,100,1.4387
1,4,10000,0.0291
1,5,10000,0.173
1,6,10000,0.7681
1,7,10000,2.5325
